mon_job,tue_job,wed_job,thu_job,fri_job,sat_job,mon_question,tue_question,wed_question,thu_question,fri_question,sat_question,calvin_book,samuel_book,kay_book,week_start_date,scripture_ref,scripture
"Garbage, toothbrush paper towel","Toilet","Sink","Mirror, light switch, door knob","Sweep","Scrub shower, no cleanser","Brainstorming questions.","Moving from a question to a testable hypothesis.","Developing a test of hypothesis.","Making inference and drawing conclusions.","Question based on current event.","Principles from scripture passage or general conference talk.","Algebra 1","Math 7/6","Math 5/4","2018-11-26",,
"Garbage, toothbrush paper towel","Toilet","Sink","Mirror, light switch, door knob","Sweep","Scrub shower, no cleanser","Formulate questions from observation.","Develop predictions. ","Develop tests of predictions.","Discussion of question posed by mom or dad.","Riddle: Playthink 948, page 325","","Algebra 1","Math 7/6","Math 5/4","2018-12-03",,
"Garbage, toothbrush paper towel","Toilet","Sink","Mirror, light switch, door knob","Sweep","Scrub shower with cleanser","Formulate questions from observation.","Develop predictions. ","Develop tests of predictions.","Discussion of question posed by mom or dad.","Riddle: Playthink 922, page 316","","Algebra 1","Math 7/6","Math 5/4","2018-12-10",,
"Garbage, toothbrush paper towel","Toilet","Sink","Mirror, light switch, door knob","Sweep","Scrub shower with cleanser","Formulate questions from observation: The Economist, December 15th, International, page 57","Develop predictions. ","Develop tests of predictions.","Discussion of question posed by mom or dad.","Riddle: Playthinks 926, page 318","","Algebra 1","Math 7/6","Math 5/4","2018-12-17",,
" "," ","Sink, toothbrush paper towels","Mirror, light switch, door knob","Sweep","Mop floor"," "," ","What is a successful life?","Is college worth it?","Riddle: No. 8, page 8, What is the name of this book?","","Algebra 1","Math 7/6","Math 5/4","2018-12-31",,
" Garbage, toothbrush paper towel","Toilet","Sink","Mirror, light switch, door knob","Sweep","Mop floor","Read article (Special Report: Childhood, page 34, The Economist), ask questions ","Develop predictions","Develop tests of predictions","Is college worth it?","Riddle: No. 8, page 8, What is the name of this book?","","Algebra 1","Math 7/6","Math 5/4","2019-01-07",,
" Garbage, toothbrush paper towel","Toilet","Sink, toothbrush paper towels","Mirror, light switch, door knob","Sweep","Mop floor","The Economist, January 5th 2019, Finance and Economics: ``Wine investing,"" ask questions.","Develop Predictions","Develop tests of predictions","Is college worth it?","Riddle: No. 8, page 8, What is the name of this book?","Discuss principles from scripture of the week.","Algebra 1","Math 7/6","Math 5/4","2019-01-14","Luke 2:49","And he said unto them, How is it that ye sought me? wist ye not that I must be about my Father's business?"
" Garbage, toothbrush paper towel","Toilet","Sink, toothbrush paper towels","Mirror, light switch, door knob","Sweep","Mop floor","The Economist, January 19th 2019, Books and Art: ``People power,"" ask questions.","Develop Predictions","Develop tests of predictions","Is college worth it?","Riddle: No. 8, page 8, What is the name of this book?","Discuss principles from scripture of the week.","Algebra 1","Math 7/6","Math 5/4","2019-01-21","John 1:38-39","Then Jesus turned, and saw them following, and saith unto them, What seek ye? They said unto him, Rabbi...where dwellest thou? He saith unto them, Come and see."
" Garbage, toothbrush paper towel","Toilet","Sink","Laundry, mirror, light switch, door knob","Sweep","Scrub shower with cleanser","What would happen to the used car market if tampering with the odometer wasn't illegal?","Why does our society value ""social skills""","Is college worth it?","Why do some coaches and players earn more money than others?","For real this week: Riddle: No. 8, page 8, What is the name of this book?","Discuss principles from scripture of the week.","Algebra 1","Math 7/6","Math 5/4","2019-01-28","Review Time!"," "
"Garbage, toothbrush paper towel","Toilet","Sink","Laundry, mirror, light switch, door knob","Sweep","Scrub shower with cleanser","The Economist, January 24th 2019, United States: ""Early Education."" Why are pre-K programs getting attention?","Does the research supporting pre-K programs apply to everyone?","Why are pre-K teachers not paid well? Why do some coaches and players earn more money than others? (Economist article from a few weeks ago about soccer coaches).","How do we measure whether these pre-K programs are effective and worthwhile?","Riddle: No. 14, page 11, What is the name of this book?","Discuss principles from scripture of the week.","Algebra 1","Math 7/6","Math 5/4","2019-02-04","Luke 4:18-19"," The Spirit of the Lord is upon me, because he hath anointed me to preach the gospel to the poor; he hath sent me to heal the broken-hearted, to preach deliverance to the captives, and recovering of sight to the blind, to set at liberty them that are bruised, to preach the acceptable year of the Lord."
