book,chapter,num_lesson_probs,num_mixed_probs
"Math 7/6",1,"f","25"
"Math 7/6",2,"h","30"
"Math 7/6",3,"i","30"
"Math 7/6",4,"h","30"
"Math 7/6",5,"h","30"
"Math 7/6",6,"h","30"
"Math 7/6",7,"f","30"
"Math 7/6",8,"f","30"
"Math 7/6",9,"f","30"
"Math 7/6",10,"d","30"
"Math 7/6",11,"b","30"
"Math 7/6",12,"e","30"
"Math 7/6",13,"b","30"
"Math 7/6",14,"l","30"
"Math 7/6",15,"b","30"
"Math 7/6",16,"o","30"
"Math 7/6",17,"g","30"
"Math 7/6",18,"h","30"
"Math 7/6",19,"l","30"
"Math 7/6",20,"h","30"
"Math 7/6",21,"d","30"
"Math 7/6",22,"f","30"
"Math 7/6",23,"c","30"
"Math 7/6",24,"f","30"
"Math 7/6",25,"i","30"
"Math 7/6",26,"h","30"
"Math 7/6",27,"d","30"
"Math 7/6",28,"k","30"
"Math 7/6",29,"j","30"
"Math 7/6",30,"m","30"
"Math 7/6",31,"f","30"
"Math_7_6",32,"g","30"
"Math_7_6",33,"i","30"
"Math_7_6",34,"f","30"
"Math_7_6",35,"o","30"
"Math_7_6",36,"h","30"
"Math_7_6",37,"j","30"
"Math_7_6",38,"q","30"
"Math_7_6",39,"j","30"
"Math_7_6",40,"j","30"
"Math_7_6",41,"q","30"
"Math_7_6",42,"f","30"
"Math_7_6",43,"f","30"
"Math_7_6",44,"j","30"
"Math_7_6",45,"k","30"
"Math_7_6",46,"o","30"
"Math_7_6",47,"g","30"
"Math_7_6",48,"f","30"
"Math_7_6",49,"j","30"
"Math_7_6",50,"h","30"
"Math_7_6",51,"j","30"
"Math_7_6",52,"h","30"
"Math_7_6",53,"e","30"
"Math_7_6",54,"d","30"
"Math_7_6",55,"f","30"
"Math_7_6",56,"h","30"
"Math_7_6",57,"f","30"
"Math_7_6",58,"h","30"
"Math_7_6",59,"f","30"
"Math_7_6",60,"e","30"
"Math_7_6",61,"f","30"
"Math_7_6",62,"j","30"
"Math_7_6",63,"i","30"
"Math_7_6",64,"f","30"
"Math_7_6",65,"f","30"
"Math_7_6",66,"i","30"
"Math_7_6",67,"d","30"
"Math_7_6",68,"h","30"
"Math_7_6",69,"f","30"
"Math_7_6",70,"i","30"
"Math_7_6",71,"g","30"
"Math_7_6",72,"e","30"
"Math_7_6",73,"j","30"
"Math_7_6",74,"i","30"
"Math_7_6",75,"n","30"
"Math_7_6",76,"f","30"
"Math_7_6",77,"f","30"
"Math_7_6",78,"d","30"
"Math_7_6",79,"d","30"
"Math_7_6",80,"b","30"
"Math_7_6",81,"d","30"
"Math_7_6",82,"c","30"
"Math_7_6",83,"d","30"
"Math_7_6",84,"e","30"
"Math_7_6",85,"e","30"
"Math_7_6",86,"e","30"
"Math_7_6",87,"f","30"
"Math_7_6",88,"b","30"
"Math_7_6",89,"l","30"
"Math_7_6",90,"c","30"
"Math_7_6",91,"b","30"
"Math_7_6",92,"g","30"
"Math_7_6",93,"e","30"
"Math_7_6",95,"f","30"
"Math_7_6",96,"e","30"
"Math_7_6",97,"e","30"
"Math_7_6",98,"f","30"
"Math_7_6",99,"l","30"
"Math_7_6",100,"o","30"
"Math_7_6",101,"b","30"
"Math_7_6",102,"e","30"
"Math_7_6",103,"b","30"
"Math_7_6",104,"f","30"
"Math_7_6",105,"c","30"
"Math_7_6",106,"f","30"
"Math_7_6",107,"b","30"
"Math_7_6",108,"e","30"
"Math_7_6",109,"e","30"
"Math_7_6",110,"b","30"
"Math_7_6",111,"d","30"
"Math_7_6",112,"h","30"
"Math_7_6",113,"f","30"
"Math_7_6",114,"g","30"
"Math_7_6",115,"e","30"
"Math_7_6",116,"c","30"
"Math_7_6",117,"e","30"
"Math_7_6",118,"a","30"
"Math_7_6",119,"f","30"
"Math_7_6",120,"a","30"
"Math_7_6",94,"q","30"
