def,word,page,timestamp,lesson,practice,button,quiz
false,true,"Main",1532571894,"25",false,"Submit",true
false,true,"Main",1532572142,"45",true,"Submit",false
false,true,"Main",1532572165,"45",false,"Submit",true
false,true,"Main",1532572443,"234",false,"Submit",true
false,true,"Main",1532572467,"46",false,"Submit",true
,,"Main",1532572787,,,"Quit",
false,true,"Main",1535593152,"50",true,"Submit",false
,,"Main",1535593273,,,"Quit",
false,true,"Main",1535834343,"50",true,"Submit",false
false,true,"Main",1535834461,"50",true,"Submit",false
,,"Main",1535855571,,,"Quit",
,,"Main",1536004466,,,"Quit",
,,"Main",1536006935,,,"Quit",
,,"Main",1536007296,,,"Quit",
,,"Main",1536007645,,,"Quit",
,,"Main",1536008421,,,"Quit",
,,"Main",1536008514,,,"Quit",
false,true,"Main",1536009146,"50",true,"Submit",false
false,true,"Main",1536009701,"50",false,"Submit",true
false,true,"Main",1536009942,"49",true,"Submit",false
,,"Main",1536025907,,,"Quit",
false,true,"Main",1536094584,"51",true,"Submit",false
false,true,"Main",1536095044,"51",false,"Submit",true
false,true,"Main",1536095183,"52",true,"Submit",false
false,true,"Main",1536179797,"52",true,"Submit",false
false,true,"Main",1536180390,"52",false,"Submit",true
false,true,"Main",1536180633,"53",true,"Submit",false
false,true,"Main",1536265119,"53",true,"Submit",false
false,true,"Main",1536265436,"53",false,"Submit",true
false,true,"Main",1536265568,"4",false,"Submit",true
false,true,"Main",1536265830,"54",true,"Submit",false
false,true,"Main",1536332083,"54",true,"Submit",false
false,true,"Main",1536332798,"54",true,"Submit",false
false,true,"Main",1536332972,"54",false,"Submit",true
,,"Main",1536378523,,,"Quit",
false,true,"Main",1536414894,"54",true,"Submit",false
false,true,"Main",1536414907,"55",true,"Submit",false
,,"Main",1536415579,,,"Quit",
false,true,"Main",1536611529,"55",true,"Submit",false
false,true,"Main",1536611684,"55",false,"Submit",true
false,true,"Main",1536611930,"56",true,"Submit",false
,,"Main",1536618831,,,"Quit",
false,true,"Main",1536692843,"56",true,"Submit",false
false,true,"Main",1536693623,"56",false,"Submit",true
,,"Main",1536693893,,,"Quit",
false,true,"Main",1536762545,"57",true,"Submit",false
false,true,"Main",1536763192,"49",true,"Submit",false
false,true,"Main",1536763211,"48",true,"Submit",false
,,"Main",1536763689,,,"Quit",
false,true,"Main",1536867806,"48",true,"Submit",false
false,true,"Main",1536868096,"48",false,"Submit",true
true,false,"Main",1536868295,"47",true,"Submit",false
false,true,"Main",1536868329,"47",true,"Submit",false
,,"Main",1536868417,,,"Quit",
false,true,"Main",1536958494,"58",true,"Submit",false
,,"Main",1536959368,,,"Quit",
false,true,"Main",1537039991,"58",true,"Submit",false
,,"Main",1537040791,,,"Quit",
false,true,"Main",1537215728,"58",true,"Submit",false
false,true,"Main",1537216410,"58",false,"Submit",true
false,true,"Main",1537216725,"59",true,"Submit",false
false,true,"Main",1537302732,"59",true,"Submit",false
false,true,"Main",1537302755,"59",true,"Submit",false
false,true,"Main",1537303340,"59",true,"Submit",false
,,"Main",1537323579,,,"Quit",
false,true,"Main",1537389779,"59",true,"Submit",false
,,"Main",1537390691,,,"Quit",
false,true,"Main",1537472573,"59",true,"Submit",false
,,"Main",1537495703,,,"Quit",
false,true,"Main",1537568617,"59",true,"Submit",false
false,true,"Main",1537568895,"59",true,"Submit",false
false,true,"Main",1537568912,"59",false,"Submit",true
false,true,"Main",1537569421,"60",true,"Submit",false
,,"Main",1537569511,,,"Quit",
false,true,"Main",1537648327,"60",true,"Submit",false
,,"Main",1537649309,,,"Quit",
false,true,"Main",1537819410,"60",true,"Submit",false
,,"Main",1537820286,,,"Quit",
false,true,"Main",1537907713,"60",true,"Submit",false
false,true,"Main",1537907877,"60",false,"Submit",true
false,true,"Main",1537908388,"61",true,"Submit",false
,,"Main",1537908602,,,"Quit",
false,true,"Main",1537993840,"61",true,"Submit",false
false,true,"Main",1537994345,"61",true,"Submit",false
,,"Main",1537994715,,,"Quit",
false,true,"Main",1538078687,"61",true,"Submit",false
,,"Main",1538079635,,,"Quit",
false,true,"Main",1538164234,"61",true,"Submit",false
,,"Main",1538165112,,,"Quit",
false,true,"Main",1538253581,"61",true,"Submit",false
false,true,"Main",1538253979,"61",false,"Submit",true
,,"Main",1538254469,,,"Quit",
false,true,"Main",1538428530,"62",true,"Submit",false
false,true,"Main",1538428746,"62",true,"Submit",false
,,"Main",1538432167,,,"Quit",
false,true,"Main",1538510046,"62",true,"Submit",false
,,"Main",1538510856,,,"Quit",
false,true,"Main",1538598761,"62",true,"Submit",false
false,true,"Main",1538599335,"62",false,"Submit",true
,,"Main",1538599800,,,"Quit",
false,true,"Main",1539031267,"62",true,"Submit",false
false,true,"Main",1539031540,"62",false,"Submit",true
false,true,"Main",1539031935,"63",true,"Submit",false
,,"Main",1539032054,,,"Quit",
false,true,"Main",1539113378,"63",true,"Submit",false
,,"Main",1539114306,,,"Quit",
false,true,"Main",1539201941,"63",true,"Submit",false
false,true,"Main",1539202523,"63",false,"Submit",true
,,"Main",1539202836,,,"Quit",
false,true,"Main",1539288059,"64",true,"Submit",false
false,true,"Main",1539358183,"64",true,"Submit",false
,,"Main",1539359058,,,"Quit",
false,true,"Main",1539451294,"64",true,"Submit",false
false,true,"Main",1539451876,"64",false,"Submit",true
,,"Main",1539452360,,,"Quit",
false,true,"Main",1539632312,"64",true,"Submit",false
false,true,"Main",1539632367,"65",true,"Submit",false
,,"Main",1539633307,,,"Quit",
false,true,"Main",1539719242,"65",true,"Submit",false
,,"Main",1539720144,,,"Quit",
false,true,"Main",1539804098,"65",true,"Submit",false
,,"Main",1539804967,,,"Quit",
false,true,"Main",1539892935,"36",true,"Submit",false
false,true,"Main",1539893233,"35",true,"Submit",false
false,true,"Main",1539893252,"65",true,"Submit",false
,,"Main",1539893765,,,"Quit",
false,true,"Main",1539974540,"65",true,"Submit",false
,,"Main",1539975424,,,"Quit",
,,"Main",1540223484,,,"Quit",
false,true,"Main",1540223644,"61",true,"Submit",false
false,true,"Main",1540224015,"63",true,"Submit",false
false,true,"Main",1540224331,"64",true,"Submit",false
,,"Main",1540224376,,,"Quit",
false,true,"Main",1540323413,"60",true,"Submit",false
false,true,"Main",1540323740,"61",true,"Submit",false
false,true,"Main",1540324089,"62",true,"Submit",false
,,"Main",1540324265,,,"Quit",
false,true,"Main",1540410233,"62",true,"Submit",false
false,true,"Main",1540410461,"63",true,"Submit",false
false,true,"Main",1540410666,"64",true,"Submit",false
false,true,"Main",1540410951,"65",true,"Submit",false
,,"Main",1540411146,,,"Quit",
false,true,"Main",1540585009,"65",true,"Submit",false
false,true,"Main",1540585374,"59",true,"Submit",false
false,true,"Main",1540585620,"60",true,"Submit",false
false,true,"Main",1540585821,"62",true,"Submit",false
,,"Main",1540585866,,,"Quit",
,,"Main",1540586356,,,"Quit",
,,"Main",1540588618,,,"Quit",
,,"Main",1540589206,,,"Quit",
,,"Main",1540589591,,,"Quit",
,,"Main",1540589814,,,"Quit",
,,"Main",1540589960,,,"Quit",
false,true,"Main",1540665227,"58",true,"Submit",false
false,true,"Main",1540665399,"54",true,"Submit",false
false,true,"Main",1540665529,"56",true,"Submit",false
false,true,"Main",1540665615,"58",true,"Submit",false
false,true,"Main",1540665675,"63",true,"Submit",false
false,true,"Main",1540665886,"87",true,"Submit",false
,,"Main",1540666148,,,"Quit",
false,true,"Main",1540844157,"54",true,"Submit",false
false,true,"Main",1540844209,"56",true,"Submit",false
false,true,"Main",1540844218,"51",true,"Submit",false
false,true,"Main",1540844377,"51",true,"Submit",false
false,true,"Main",1540844476,"100",true,"Submit",false
,,"Main",1540845066,,,"Quit",
,,"Main",1540866821,,,"Quit",
false,true,"Main",1540930022,"53",true,"Submit",false
false,true,"Main",1540930117,"99",true,"Submit",false
,,"Main",1540930868,,,"Quit",
false,true,"Main",1541015347,"100",true,"Submit",false
false,true,"Main",1541015684,"23",true,"Submit",false
false,true,"Main",1541015794,"76",true,"Submit",false
,,"Main",1541016127,,,"Quit",
false,true,"Main",1541101220,"12",true,"Submit",false
false,true,"Main",1541101407,"100",true,"Submit",false
,,"Main",1541102117,,,"Quit",
false,true,"Main",1541189127,"100",true,"Submit",false
false,true,"Main",1541189620,"235",true,"Submit",false
false,true,"Main",1541189631,"232",true,"Submit",false
false,true,"Main",1541189645,"23",true,"Submit",false
false,true,"Main",1541189747,"178",true,"Submit",false
false,true,"Main",1541189763,"123",true,"Submit",false
,,"Main",1541190010,,,"Quit",
false,true,"Main",1541275251,"100",true,"Submit",false
false,true,"Main",1541275568,"23",true,"Submit",false
false,true,"Main",1541275822,"100",true,"Submit",false
false,true,"Main",1541475092,"10",true,"Submit",false
false,true,"Main",1541475118,"",true,"Quit",false
false,true,"Main",1541531548,"100",true,"Submit",false
false,true,"Main",1541532011,"27",true,"Submit",false
false,true,"Main",1541532253,"100",true,"Submit",false
false,true,"Main",1541597664,"10",true,"Submit",false
false,true,"Main",1541597701,"",true,"Quit",false
false,true,"Main",1541716729,"100",true,"Submit",false
false,true,"Main",1541719535,"100",true,"Submit",false
false,true,"Main",1541719818,"27",true,"Submit",false
false,true,"Main",1541720005,"100",true,"Submit",false
false,true,"Main",1541795669,"27",true,"Submit",false
false,true,"Main",1541795875,"100",true,"Submit",false
false,true,"Main",1541796251,"27",true,"Submit",false
false,true,"Main",1541796261,"27",false,"Submit",true
false,true,"Main",1541796508,"100",true,"Submit",false
false,true,"Main",1541879031,"100",true,"Submit",false
false,true,"Main",1541879346,"26",true,"Submit",false
