card_front,page,card_back,num_batches,index,batch_index,batch_size,button,timestamp
"static/45/rc_vocab_45_32.png","Practice","static/45/rc_vocab_45_33.png",1,0,0,26,"Flip",1532572148
"static/45/rc_vocab_45_18.png","Practice","static/45/rc_vocab_45_19.png",1,1,0,26,"Next Card",1532572150
"static/45/rc_vocab_45_18.png","Practice","static/45/rc_vocab_45_19.png",1,1,0,26,"Main Menu",1532572155
"static/50/rc_vocab_50_0.png","Practice","static/50/rc_vocab_50_1.png",7,0,0,5,"Flip",1535593169
"static/50/rc_vocab_50_64.png","Practice","static/50/rc_vocab_50_65.png",7,1,0,5,"Next Card",1535593173
"static/50/rc_vocab_50_64.png","Practice","static/50/rc_vocab_50_65.png",7,1,0,5,"Flip",1535593181
"static/50/rc_vocab_50_26.png","Practice","static/50/rc_vocab_50_27.png",7,2,0,5,"Next Card",1535593183
"static/50/rc_vocab_50_26.png","Practice","static/50/rc_vocab_50_27.png",7,2,0,5,"Flip",1535593187
"static/50/rc_vocab_50_22.png","Practice","static/50/rc_vocab_50_23.png",7,3,0,5,"Next Card",1535593192
"static/50/rc_vocab_50_22.png","Practice","static/50/rc_vocab_50_23.png",7,3,0,5,"Flip",1535593203
"static/50/rc_vocab_50_24.png","Practice","static/50/rc_vocab_50_25.png",7,4,0,5,"Next Card",1535593218
"static/50/rc_vocab_50_24.png","Practice","static/50/rc_vocab_50_25.png",7,4,0,5,"Flip",1535593222
"static/50/rc_vocab_50_24.png","Practice","static/50/rc_vocab_50_25.png",7,4,0,5,"Flip",1535593227
"static/50/rc_vocab_50_24.png","Practice","static/50/rc_vocab_50_25.png",7,4,0,5,"Flip",1535593227
"static/50/rc_vocab_50_24.png","Practice","static/50/rc_vocab_50_25.png",7,0,0,5,"Practice Batch Again",1535593235
"static/50/rc_vocab_50_64.png","Practice","static/50/rc_vocab_50_65.png",7,1,0,5,"Next Card",1535593238
"static/50/rc_vocab_50_0.png","Practice","static/50/rc_vocab_50_1.png",7,2,0,5,"Next Card",1535593240
"static/50/rc_vocab_50_26.png","Practice","static/50/rc_vocab_50_27.png",7,3,0,5,"Next Card",1535593240
"static/50/rc_vocab_50_22.png","Practice","static/50/rc_vocab_50_23.png",7,4,0,5,"Next Card",1535593241
"static/50/rc_vocab_50_26.png","Practice","static/50/rc_vocab_50_27.png",7,3,0,5,"Previous Card",1535593243
"static/50/rc_vocab_50_0.png","Practice","static/50/rc_vocab_50_1.png",7,2,0,5,"Previous Card",1535593243
"static/50/rc_vocab_50_64.png","Practice","static/50/rc_vocab_50_65.png",7,1,0,5,"Previous Card",1535593244
"static/50/rc_vocab_50_24.png","Practice","static/50/rc_vocab_50_25.png",7,0,0,5,"Previous Card",1535593245
"static/50/rc_vocab_50_64.png","Practice","static/50/rc_vocab_50_65.png",7,1,0,5,"Next Card",1535593246
"static/50/rc_vocab_50_0.png","Practice","static/50/rc_vocab_50_1.png",7,2,0,5,"Next Card",1535593247
"static/50/rc_vocab_50_26.png","Practice","static/50/rc_vocab_50_27.png",7,3,0,5,"Next Card",1535593247
"static/50/rc_vocab_50_22.png","Practice","static/50/rc_vocab_50_23.png",7,4,0,5,"Next Card",1535593248
"static/50/rc_vocab_50_26.png","Practice","static/50/rc_vocab_50_27.png",7,3,0,5,"Previous Card",1535593252
"static/50/rc_vocab_50_0.png","Practice","static/50/rc_vocab_50_1.png",7,2,0,5,"Previous Card",1535593252
"static/50/rc_vocab_50_64.png","Practice","static/50/rc_vocab_50_65.png",7,1,0,5,"Previous Card",1535593252
"static/50/rc_vocab_50_24.png","Practice","static/50/rc_vocab_50_25.png",7,0,0,5,"Previous Card",1535593252
