completed,chosen_card,timestamp,alternatives,answer_card,page,button,correct,index,prompt,radio_button_chosen
0,"static/25/rc_vocab_25_9.png",1532571901,"[ ""static/25/rc_vocab_25_9.png"", ""static/16/rc_vocab_16_33.png"", ""static/55/rc_vocab_55_39.png"", ""static/9/rc_vocab_9_19.png"" ]","static/25/rc_vocab_25_9.png","Quiz","Submit",1,0,"static/25/rc_vocab_25_8.png",0
1,"None",1532571907,"[ ""static/25/rc_vocab_25_3.png"", ""static/18/rc_vocab_18_19.png"", ""static/44/rc_vocab_44_9.png"", ""static/42/rc_vocab_42_11.png"" ]","static/25/rc_vocab_25_3.png","Quiz","Next",1,1,"static/25/rc_vocab_25_2.png","None"
1,"static/25/rc_vocab_25_3.png",1532571912,"[ ""static/25/rc_vocab_25_3.png"", ""static/18/rc_vocab_18_19.png"", ""static/44/rc_vocab_44_9.png"", ""static/42/rc_vocab_42_11.png"" ]","static/25/rc_vocab_25_3.png","Quiz","Submit",2,1,"static/25/rc_vocab_25_2.png",0
2,"None",1532571913,"[ ""static/67/rc_vocab_67_7.png"", ""static/25/rc_vocab_25_23.png"", ""static/9/rc_vocab_9_15.png"", ""static/19/rc_vocab_19_35.png"" ]","static/25/rc_vocab_25_23.png","Quiz","Next",2,2,"static/25/rc_vocab_25_22.png","None"
2,"static/67/rc_vocab_67_7.png",1532571927,"[ ""static/67/rc_vocab_67_7.png"", ""static/25/rc_vocab_25_23.png"", ""static/9/rc_vocab_9_15.png"", ""static/19/rc_vocab_19_35.png"" ]","static/25/rc_vocab_25_23.png","Quiz","Submit",2,2,"static/25/rc_vocab_25_22.png",0
2,"static/25/rc_vocab_25_23.png",1532571930,"[ ""static/67/rc_vocab_67_7.png"", ""static/25/rc_vocab_25_23.png"", ""static/9/rc_vocab_9_15.png"", ""static/19/rc_vocab_19_35.png"" ]","static/25/rc_vocab_25_23.png","Quiz","Submit",2,2,"static/25/rc_vocab_25_22.png",1
3,"None",1532571932,"[ ""static/54/rc_vocab_54_5.png"", ""static/25/rc_vocab_25_21.png"", ""static/41/rc_vocab_41_29.png"", ""static/5/rc_vocab_5_17.png"" ]","static/25/rc_vocab_25_21.png","Quiz","Next",2,3,"static/25/rc_vocab_25_20.png","None"
3,"static/25/rc_vocab_25_21.png",1532571948,"[ ""static/54/rc_vocab_54_5.png"", ""static/25/rc_vocab_25_21.png"", ""static/41/rc_vocab_41_29.png"", ""static/5/rc_vocab_5_17.png"" ]","static/25/rc_vocab_25_21.png","Quiz","Submit",3,3,"static/25/rc_vocab_25_20.png",1
4,"None",1532571951,"[ ""static/56/rc_vocab_56_23.png"", ""static/29/rc_vocab_29_1.png"", ""static/72/rc_vocab_72_47.png"", ""static/25/rc_vocab_25_5.png"" ]","static/25/rc_vocab_25_5.png","Quiz","Next",3,4,"static/25/rc_vocab_25_4.png","None"
4,"static/25/rc_vocab_25_5.png",1532571970,"[ ""static/56/rc_vocab_56_23.png"", ""static/29/rc_vocab_29_1.png"", ""static/72/rc_vocab_72_47.png"", ""static/25/rc_vocab_25_5.png"" ]","static/25/rc_vocab_25_5.png","Quiz","Submit",4,4,"static/25/rc_vocab_25_4.png",3
